years,component,description,docs_url,data_url
2001-2002,Laboratory,Brominated Flame Retardants (BFRs) - Pooled Samples (Surplus),https://wwwn.cdc.gov/Nchs/Nhanes/2001-2002/SSBFR_B.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2001-2002/SSBFR_B.xpt
2005-2006,Laboratory,"Cadmium, Lead, & Total Mercury - Blood",https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/PBCD_D.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/PBCD_D.xpt
2007-2008,Laboratory,"Cadmium, Lead, & Total Mercury - Blood",https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/PBCD_E.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/PBCD_E.xpt
2003-2004,Laboratory,"Cadmium, Lead, & Total Mercury - Blood",https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/L06BMT_C.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/L06BMT_C.xpt
2009-2010,Laboratory,"Cadmium, Lead, & Total Mercury - Blood",https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/PBCD_F.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/PBCD_F.xpt
1999-2000,Laboratory,"Cadmium, Lead, Mercury, Cotinine & Nutritional Biochemistries",https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/LAB06.htm,https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/LAB06.xpt
2001-2002,Laboratory,"Cadmium, Lead, Mercury, Cotinine & Nutritional Biochemistries",https://wwwn.cdc.gov/Nchs/Nhanes/2001-2002/L06_B.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2001-2002/L06_B.xpt
2001-2002,Laboratory,"Cadmium, Lead, Total Mercury, Ferritin, Serum Folate, RBC Folate, Vitamin B12, Homocysteine, Methylmalonic acid, Cotinine - Blood, Second Exam",https://wwwn.cdc.gov/Nchs/Nhanes/2001-2002/L06_2_B.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2001-2002/L06_2_B.xpt
2011-2012,Laboratory,"Cadmium, Lead, Total Mercury, Selenium, & Manganese - Blood",https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/PBCD_G.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/PBCD_G.xpt
2009-2010,Laboratory,Caffeine & Caffeine Metabolites - Urine,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/CAFE_F.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/CAFE_F.xpt
2011-2012,Laboratory,Caffeine & Caffeine Metabolites - Urine,https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/CAFE_G.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/CAFE_G.xpt
2013-2014,Laboratory,Caffeine & Caffeine Metabolites - Urine,https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/CAFE_H.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/CAFE_H.xpt
2001-2002,Laboratory,Cancer antigen CA125 and CA15.3 - Serum (Surplus),https://wwwn.cdc.gov/Nchs/Nhanes/2001-2002/SSCA_B.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2001-2002/SSCA_B.xpt
2001-2002,Laboratory,"Cancer antigen CA125, CA15.3 and HE4 IgG antibodies - Serum (Surplus)",https://wwwn.cdc.gov/Nchs/Nhanes/2001-2002/SSCGA_B.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2001-2002/SSCGA_B.xpt
2009-2010,Laboratory,Chlamydia - Urine,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/CHLMDA_F.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/CHLMDA_F.xpt
2011-2012,Laboratory,Chlamydia - Urine,https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/CHLMDA_G.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/CHLMDA_G.xpt
2013-2014,Laboratory,Chlamydia - Urine,https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/CHLMDA_H.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/CHLMDA_H.xpt
2015-2016,Laboratory,Chlamydia - Urine,https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/CHLMDA_I.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/CHLMDA_I.xpt
1999-2000,Laboratory,Chlamydia & Gonorrhea - Urine,https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/LAB05.htm,https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/LAB05.xpt
2005-2006,Laboratory,Chlamydia & Gonorrhea - Urine,https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/CHLMDA_D.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/CHLMDA_D.xpt
2003-2004,Laboratory,Chlamydia & Gonorrhea - Urine,https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/L05_C.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/L05_C.xpt
2001-2002,Laboratory,Chlamydia & Gonorrhea - Urine,https://wwwn.cdc.gov/Nchs/Nhanes/2001-2002/L05_B.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2001-2002/L05_B.xpt
2007-2008,Laboratory,Chlamydia & Gonorrhea - Urine,https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/CHLMDA_E.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/CHLMDA_E.xpt
2013-2014,Laboratory,Chlamydia Pgp3 (plasmid gene product 3) ELISA (enzyme linked immunosorbent assay) and multiplex bead array (MBA) results,https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/SSCT_H.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/SSCT_H.xpt
2015-2016,Laboratory,Chlamydia Pgp3 (plasmid gene product 3) ELISA (enzyme linked immunosorbent assay) and multiplex bead array (MBA) results,https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/SSCT_I.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/SSCT_I.xpt
2015-2016,Laboratory,Chlorinated Tyrosine – Serum (Surplus),https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/SSCLTY_I.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/SSCLTY_I.xpt
2007-2008,Laboratory,Cholesterol - HDL,https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/HDL_E.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/HDL_E.xpt
2005-2006,Laboratory,Cholesterol - HDL,https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/HDL_D.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/HDL_D.xpt
2009-2010,Laboratory,Cholesterol - HDL,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/HDL_F.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/HDL_F.xpt
2011-2012,Laboratory,Cholesterol - HDL,https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/HDL_G.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/HDL_G.xpt
2013-2014,Laboratory,Cholesterol - HDL,https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/HDL_H.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/HDL_H.xpt
2017-2018,Laboratory,Cholesterol - High - Density Lipoprotein (HDL),https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/HDL_J.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/HDL_J.xpt
2017-2020,Laboratory,Cholesterol - High - Density Lipoprotein (HDL),https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/P_HDL.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/P_HDL.xpt
2015-2016,Laboratory,Cholesterol - High-Density Lipoprotein (HDL),https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/HDL_I.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/HDL_I.xpt
2005-2006,Questionnaire,Acculturation,https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/ACQ_D.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/ACQ_D.xpt
2007-2008,Questionnaire,Acculturation,https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/ACQ_E.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/ACQ_E.xpt
1999-2000,Questionnaire,Acculturation,https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/ACQ.htm,https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/ACQ.xpt
2003-2004,Questionnaire,Acculturation,https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/ACQ_C.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/ACQ_C.xpt
2001-2002,Questionnaire,Acculturation,https://wwwn.cdc.gov/Nchs/Nhanes/2001-2002/ACQ_B.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2001-2002/ACQ_B.xpt
2007-2008,Laboratory,Cholesterol - LDL & Triglycerides,https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/TRIGLY_E.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/TRIGLY_E.xpt
2009-2010,Questionnaire,Acculturation,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/ACQ_F.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/ACQ_F.xpt
2011-2012,Questionnaire,Acculturation,https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/ACQ_G.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/ACQ_G.xpt
2013-2014,Questionnaire,Acculturation,https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/ACQ_H.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/ACQ_H.xpt
2015-2016,Questionnaire,Acculturation,https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/ACQ_I.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/ACQ_I.xpt
2017-2018,Questionnaire,Acculturation,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/ACQ_J.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/ACQ_J.xpt
2017-2020,Questionnaire,Acculturation,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/P_ACQ.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/P_ACQ.xpt
2007-2008,Questionnaire,Air Quality,https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/AQQ_E.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/AQQ_E.xpt
1999-2000,Laboratory,Cholesterol - LDL & Triglycerides,https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/LAB13AM.htm,https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/LAB13AM.xpt
2003-2004,Laboratory,Cholesterol - LDL & Triglycerides,https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/L13AM_C.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/L13AM_C.xpt
2001-2002,Laboratory,Cholesterol - LDL & Triglycerides,https://wwwn.cdc.gov/Nchs/Nhanes/2001-2002/L13AM_B.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2001-2002/L13AM_B.xpt
2009-2010,Laboratory,Cholesterol - LDL & Triglycerides,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/TRIGLY_F.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/TRIGLY_F.xpt
2011-2012,Laboratory,Cholesterol - LDL & Triglycerides,https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/TRIGLY_G.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/TRIGLY_G.xpt
2013-2014,Laboratory,Cholesterol - LDL & Triglycerides,https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/TRIGLY_H.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/TRIGLY_H.xpt
2009-2010,Questionnaire,Air Quality,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/AQQ_F.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/AQQ_F.xpt
2005-2006,Questionnaire,Alcohol Use,https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/ALQ_D.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/ALQ_D.xpt
2005-2006,Laboratory,"Cholesterol - LDL, Triglyceride & Apoliprotein (ApoB)",https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/TRIGLY_D.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/TRIGLY_D.xpt
2015-2016,Laboratory,Cholesterol - Low - Density Lipoprotein (LDL) & Triglycerides,https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/TRIGLY_I.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/TRIGLY_I.xpt
2017-2018,Laboratory,Cholesterol - Low-Density Lipoproteins (LDL) & Triglycerides,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/TRIGLY_J.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/TRIGLY_J.xpt
2007-2008,Questionnaire,Alcohol Use,https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/ALQ_E.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/ALQ_E.xpt
2017-2020,Laboratory,Cholesterol - Low-Density Lipoproteins (LDL) & Triglycerides,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/P_TRIGLY.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/P_TRIGLY.xpt
1999-2000,Questionnaire,Alcohol Use,https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/ALQ.htm,https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/ALQ.xpt
2007-2008,Laboratory,Cholesterol - Total,https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/TCHOL_E.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/TCHOL_E.xpt
2003-2004,Questionnaire,Alcohol Use,https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/ALQ_C.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/ALQ_C.xpt
2005-2006,Laboratory,Cholesterol - Total,https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/TCHOL_D.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/TCHOL_D.xpt
2001-2002,Questionnaire,Alcohol Use,https://wwwn.cdc.gov/Nchs/Nhanes/2001-2002/ALQ_B.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2001-2002/ALQ_B.xpt
2009-2010,Laboratory,Cholesterol - Total,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/TCHOL_F.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/TCHOL_F.xpt
2009-2010,Questionnaire,Alcohol Use,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/ALQ_F.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/ALQ_F.xpt
2011-2012,Laboratory,Cholesterol - Total,https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/TCHOL_G.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/TCHOL_G.xpt
2013-2014,Laboratory,Cholesterol - Total,https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/TCHOL_H.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/TCHOL_H.xpt
2011-2012,Questionnaire,Alcohol Use,https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/ALQ_G.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/ALQ_G.xpt
2015-2016,Laboratory,Cholesterol - Total,https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/TCHOL_I.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/TCHOL_I.xpt
2017-2018,Laboratory,Cholesterol - Total,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/TCHOL_J.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/TCHOL_J.xpt
2013-2014,Questionnaire,Alcohol Use,https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/ALQ_H.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/ALQ_H.xpt
2015-2016,Questionnaire,Alcohol Use,https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/ALQ_I.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/ALQ_I.xpt
2017-2020,Laboratory,Cholesterol - Total,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/P_TCHOL.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/P_TCHOL.xpt
2017-2018,Questionnaire,Alcohol Use,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/ALQ_J.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/ALQ_J.xpt
1999-2000,Laboratory,Cholesterol - Total & HDL,https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/LAB13.htm,https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/LAB13.xpt
2017-2020,Questionnaire,Alcohol Use,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/P_ALQ.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/P_ALQ.xpt
2001-2002,Laboratory,Cholesterol - Total & HDL,https://wwwn.cdc.gov/Nchs/Nhanes/2001-2002/L13_B.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2001-2002/L13_B.xpt
2009-2010,Questionnaire,Alcohol Use (Ages 18-19),https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/ALQY_F.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/ALQY_F.xpt
2003-2004,Laboratory,Cholesterol - Total & HDL,https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/L13_C.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/L13_C.xpt
2001-2002,Laboratory,"Cholesterol - Total, HDL, LDL  & Triglycerides, Second Exam",https://wwwn.cdc.gov/Nchs/Nhanes/2001-2002/L13_2_B.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2001-2002/L13_2_B.xpt
2005-2006,Questionnaire,Allergy,https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/AGQ_D.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/AGQ_D.xpt
2017-2018,Laboratory,Chromium - Urine,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/UCM_J.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/UCM_J.xpt
1999-2000,Questionnaire,Analgesic Pain Relievers,https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/RXQ_ANA.htm,https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/RXQ_ANA.xpt
2017-2020,Laboratory,Chromium - Urine,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/P_UCM.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/P_UCM.xpt
2015-2016,Laboratory,Chromium & Cobalt,https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/CRCO_I.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/CRCO_I.xpt
2003-2004,Questionnaire,Analgesic Pain Relievers,https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/RXQANA_C.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/RXQANA_C.xpt
2017-2018,Laboratory,Chromium & Cobalt,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/CRCO_J.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/CRCO_J.xpt
2001-2002,Questionnaire,Analgesic Pain Relievers,https://wwwn.cdc.gov/Nchs/Nhanes/2001-2002/RXQANA_B.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2001-2002/RXQANA_B.xpt
2017-2020,Laboratory,Chromium & Cobalt,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/P_CRCO.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/P_CRCO.xpt
2017-2018,Laboratory,Complete Blood Count with 5-Part Differential,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/CBC_J.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/CBC_J.xpt
2009-2010,Questionnaire,Arthritis,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/ARQ_F.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/ARQ_F.xpt
2007-2008,Laboratory,Complete Blood Count with 5-part Differential - Whole Blood,https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/CBC_E.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/CBC_E.xpt
2007-2008,Questionnaire,Audiometry,https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/AUQ_E.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/AUQ_E.xpt
1999-2000,Laboratory,Complete Blood Count with 5-part Differential - Whole Blood,https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/LAB25.htm,https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/LAB25.xpt
1999-2000,Questionnaire,Audiometry,https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/AUQ.htm,https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/AUQ.xpt
2005-2006,Questionnaire,Audiometry,https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/AUQ_D.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/AUQ_D.xpt
2005-2006,Laboratory,Complete Blood Count with 5-Part Differential - Whole Blood,https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/CBC_D.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/CBC_D.xpt
2003-2004,Questionnaire,Audiometry,https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/AUQ_C.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/AUQ_C.xpt
2003-2004,Laboratory,Complete Blood Count with 5-part Differential - Whole Blood,https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/L25_C.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/L25_C.xpt
2001-2002,Questionnaire,Audiometry,https://wwwn.cdc.gov/Nchs/Nhanes/2001-2002/AUQ_B.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2001-2002/AUQ_B.xpt
2001-2002,Laboratory,Complete Blood Count with 5-part Differential - Whole Blood,https://wwwn.cdc.gov/Nchs/Nhanes/2001-2002/L25_B.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2001-2002/L25_B.xpt
2009-2010,Laboratory,Complete Blood Count with 5-part Differential - Whole Blood,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/CBC_F.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/CBC_F.xpt
2009-2010,Questionnaire,Audiometry,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/AUQ_F.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/AUQ_F.xpt
2011-2012,Laboratory,Complete Blood Count with 5-part Differential - Whole Blood,https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/CBC_G.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/CBC_G.xpt
2011-2012,Questionnaire,Audiometry,https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/AUQ_G.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/AUQ_G.xpt
2013-2014,Laboratory,Complete Blood Count with 5-part Differential - Whole Blood,https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/CBC_H.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/CBC_H.xpt
2015-2016,Questionnaire,Audiometry,https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/AUQ_I.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/AUQ_I.xpt
2015-2016,Laboratory,Complete Blood Count with 5-Part Differential - Whole Blood,https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/CBC_I.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/CBC_I.xpt
2017-2018,Questionnaire,Audiometry,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/AUQ_J.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/AUQ_J.xpt
2017-2020,Questionnaire,Audiometry,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/P_AUQ.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/P_AUQ.xpt
2001-2002,Laboratory,"Complete Blood Count with 5-part Differential - Whole Blood, Second Exam",https://wwwn.cdc.gov/Nchs/Nhanes/2001-2002/L25_2_B.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2001-2002/L25_2_B.xpt
2017-2020,Laboratory,Complete Blood Count with 5-Part Differential in Whole Blood,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/P_CBC.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/P_CBC.xpt
1999-2000,Questionnaire,Balance,https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/BAQ.htm,https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/BAQ.xpt
2011-2012,Laboratory,"Copper, Selenium & Zinc - Serum",https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/CUSEZN_G.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/CUSEZN_G.xpt
2003-2004,Questionnaire,Balance,https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/BAQ_C.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/BAQ_C.xpt
2001-2002,Questionnaire,Balance,https://wwwn.cdc.gov/Nchs/Nhanes/2001-2002/BAQ_B.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2001-2002/BAQ_B.xpt
2013-2014,Laboratory,"Copper, Selenium & Zinc - Serum",https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/CUSEZN_H.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/CUSEZN_H.xpt
2005-2006,Questionnaire,Blood Pressure & Cholesterol,https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/BPQ_D.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/BPQ_D.xpt
2015-2016,Laboratory,"Copper, Selenium & Zinc - Serum",https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/CUSEZN_I.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/CUSEZN_I.xpt
2007-2008,Questionnaire,Blood Pressure & Cholesterol,https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/BPQ_E.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/BPQ_E.xpt
2005-2006,Laboratory,Cotinine - Serum,https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/COT_D.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/COT_D.xpt
1999-2000,Questionnaire,Blood Pressure & Cholesterol,https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/BPQ.htm,https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/BPQ.xpt
2003-2004,Laboratory,Cotinine - Serum,https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/L06COT_C.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/L06COT_C.xpt
